[4.564s][info][gc,cpu      ] GC(6) User=0.02s Sys=0.03s Real=0.02s
[4.721s][info][gc,start    ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
[4.721s][info][gc,task     ] GC(7) Using 13 workers of 13 for evacuation
[4.738s][info][gc,phases   ] GC(7)   Pre Evacuate Collection Set: 0.2ms
[4.738s][info][gc,phases   ] GC(7)   Merge Heap Roots: 0.1ms
[4.738s][info][gc,phases   ] GC(7)   Evacuate Collection Set: 16.4ms
[4.738s][info][gc,phases   ] GC(7)   Post Evacuate Collection Set: 0.5ms
[4.738s][info][gc,phases   ] GC(7)   Other: 0.1ms
[4.738s][info][gc,heap     ] GC(7) Eden regions: 49->0(49)
[4.738s][info][gc,heap     ] GC(7) Survivor regions: 8->8(8)
[4.738s][info][gc,heap     ] GC(7) Old regions: 61->71
[4.738s][info][gc,heap     ] GC(7) Humongous regions: 0->0
[4.738s][info][gc,metaspace] GC(7) Metaspace: 7733K(8064K)->7733K(8064K) NonClass: 6921K(7104K)->6921K(7104K) Class: 812K(960K)->812K(960K)
[4.738s][info][gc          ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 940M->626M(9216M) 17.447ms
[4.738s][info][gc,cpu      ] GC(7) User=0.08s Sys=0.03s Real=0.02s
[4.891s][info][gc,start    ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[4.891s][info][gc,task     ] GC(8) Using 13 workers of 13 for evacuation
[4.906s][info][gc,phases   ] GC(8)   Pre Evacuate Collection Set: 0.2ms
[4.906s][info][gc,phases   ] GC(8)   Merge Heap Roots: 0.1ms
[4.906s][info][gc,phases   ] GC(8)   Evacuate Collection Set: 14.5ms
[4.906s][info][gc,phases   ] GC(8)   Post Evacuate Collection Set: 0.5ms
[4.906s][info][gc,phases   ] GC(8)   Other: 0.1ms
[4.906s][info][gc,heap     ] GC(8) Eden regions: 49->0(49)
[4.906s][info][gc,heap     ] GC(8) Survivor regions: 8->8(8)
[4.906s][info][gc,heap     ] GC(8) Old regions: 71->81
[4.906s][info][gc,heap     ] GC(8) Humongous regions: 0->0
[4.906s][info][gc,metaspace] GC(8) Metaspace: 7733K(8064K)->7733K(8064K) NonClass: 6921K(7104K)->6921K(7104K) Class: 812K(960K)->812K(960K)
[4.906s][info][gc          ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 1018M->705M(9216M) 15.441ms
[4.906s][info][gc,cpu      ] GC(8) User=0.08s Sys=0.02s Real=0.02s
[5.062s][info][gc,start    ] GC(9) Pause Young (Normal) (G1 Evacuation Pause)
