[4.483s][info][gc,phases   ] GC(7)   Pre Evacuate Collection Set: 0.2ms
[4.483s][info][gc,phases   ] GC(7)   Merge Heap Roots: 0.1ms
[4.483s][info][gc,phases   ] GC(7)   Evacuate Collection Set: 12.3ms
[4.483s][info][gc,phases   ] GC(7)   Post Evacuate Collection Set: 0.4ms
[4.483s][info][gc,phases   ] GC(7)   Other: 0.0ms
[4.483s][info][gc,heap     ] GC(7) Eden regions: 77->0(81)
[4.483s][info][gc,heap     ] GC(7) Survivor regions: 12->12(12)
[4.483s][info][gc,heap     ] GC(7) Old regions: 99->114
[4.483s][info][gc,heap     ] GC(7) Humongous regions: 0->0
[4.483s][info][gc,metaspace] GC(7) Metaspace: 7734K(8064K)->7734K(8064K) NonClass: 6922K(7104K)->6922K(7104K) Class: 811K(960K)->811K(960K)
[4.483s][info][gc          ] GC(7) Pause Young (Normal) (G1 Evacuation Pause) 749M->503M(7168M) 13.290ms
[4.483s][info][gc,cpu      ] GC(7) User=0.03s Sys=0.02s Real=0.01s
[4.620s][info][gc,start    ] GC(8) Pause Young (Normal) (G1 Evacuation Pause)
[4.620s][info][gc,task     ] GC(8) Using 13 workers of 13 for evacuation
[4.635s][info][gc,phases   ] GC(8)   Pre Evacuate Collection Set: 0.2ms
[4.635s][info][gc,phases   ] GC(8)   Merge Heap Roots: 0.0ms
[4.635s][info][gc,phases   ] GC(8)   Evacuate Collection Set: 14.1ms
[4.635s][info][gc,phases   ] GC(8)   Post Evacuate Collection Set: 0.5ms
[4.635s][info][gc,phases   ] GC(8)   Other: 0.1ms
[4.635s][info][gc,heap     ] GC(8) Eden regions: 81->0(118)
[4.635s][info][gc,heap     ] GC(8) Survivor regions: 12->12(12)
[4.635s][info][gc,heap     ] GC(8) Old regions: 114->131
[4.635s][info][gc,heap     ] GC(8) Humongous regions: 0->0
[4.635s][info][gc,metaspace] GC(8) Metaspace: 7734K(8064K)->7734K(8064K) NonClass: 6922K(7104K)->6922K(7104K) Class: 811K(960K)->811K(960K)
[4.635s][info][gc          ] GC(8) Pause Young (Normal) (G1 Evacuation Pause) 827M->569M(7168M) 15.074ms
[4.635s][info][gc,cpu      ] GC(8) User=0.00s Sys=0.05s Real=0.01s
[4.841s][info][gc,start    ] GC(9) Pause Young (Normal) (G1 Evacuation Pause)
[4.841s][info][gc,task     ] GC(9) Using 13 workers of 13 for evacuation
[4.860s][info][gc,phases   ] GC(9)   Pre Evacuate Collection Set: 0.2ms
[4.860s][info][gc,phases   ] GC(9)   Merge Heap Roots: 0.1ms
[4.860s][info][gc,phases   ] GC(9)   Evacuate Collection Set: 17.5ms
[4.860s][info][gc,phases   ] GC(9)   Post Evacuate Collection Set: 0.4ms
[4.860s][info][gc,phases   ] GC(9)   Other: 0.1ms
[4.860s][info][gc,heap     ] GC(9) Eden regions: 118->0(125)
[4.860s][info][gc,heap     ] GC(9) Survivor regions: 12->17(17)
[4.860s][info][gc,heap     ] GC(9) Old regions: 131->149
[4.860s][info][gc,heap     ] GC(9) Humongous regions: 0->0
[4.860s][info][gc,metaspace] GC(9) Metaspace: 7734K(8064K)->7734K(8064K) NonClass: 6922K(7104K)->6922K(7104K) Class: 811K(960K)->811K(960K)
[4.860s][info][gc          ] GC(9) Pause Young (Normal) (G1 Evacuation Pause) 1041M->663M(7168M) 18.367ms
[4.860s][info][gc,cpu      ] GC(9) User=0.03s Sys=0.08s Real=0.02s
[5.058s][info][gc,start    ] GC(10) Pause Young (Normal) (G1 Evacuation Pause)
[5.058s][info][gc,task     ] GC(10) Using 13 workers of 13 for evacuation
[5.080s][info][gc,phases   ] GC(10)   Pre Evacuate Collection Set: 0.2ms
[5.080s][info][gc,phases   ] GC(10)   Merge Heap Roots: 0.1ms
[5.080s][info][gc,phases   ] GC(10)   Evacuate Collection Set: 20.8ms
[5.080s][info][gc,phases   ] GC(10)   Post Evacuate Collection Set: 0.6ms
[5.080s][info][gc,phases   ] GC(10)   Other: 0.1ms
[5.080s][info][gc,heap     ] GC(10) Eden regions: 125->0(137)
[5.080s][info][gc,heap     ] GC(10) Survivor regions: 17->18(18)
[5.080s][info][gc,heap     ] GC(10) Old regions: 149->174
[5.080s][info][gc,heap     ] GC(10) Humongous regions: 0->0
[5.080s][info][gc,metaspace] GC(10) Metaspace: 7746K(8064K)->7746K(8064K) NonClass: 6934K(7104K)->6934K(7104K) Class: 811K(960K)->811K(960K)
[5.080s][info][gc          ] GC(10) Pause Young (Normal) (G1 Evacuation Pause) 1163M->764M(7168M) 21.913ms
[5.080s][info][gc,cpu      ] GC(10) User=0.09s Sys=0.09s Real=0.02s
[5.296s][info][gc,start    ] GC(11) Pause Young (Normal) (G1 Evacuation Pause)
[5.296s][info][gc,task     ] GC(11) Using 13 workers of 13 for evacuation
[5.321s][info][gc,phases   ] GC(11)   Pre Evacuate Collection Set: 0.2ms
[5.321s][info][gc,phases   ] GC(11)   Merge Heap Roots: 0.1ms
[5.321s][info][gc,phases   ] GC(11)   Evacuate Collection Set: 23.3ms
[5.321s][info][gc,phases   ] GC(11)   Post Evacuate Collection Set: 0.7ms
[5.321s][info][gc,phases   ] GC(11)   Other: 0.1ms
[5.321s][info][gc,heap     ] GC(11) Eden regions: 137->0(170)
[5.321s][info][gc,heap     ] GC(11) Survivor regions: 18->20(20)
[5.321s][info][gc,heap     ] GC(11) Old regions: 174->200
[5.321s][info][gc,heap     ] GC(11) Humongous regions: 0->0
[5.321s][info][gc,metaspace] GC(11) Metaspace: 7747K(8064K)->7747K(8064K) NonClass: 6935K(7104K)->6935K(7104K) Class: 811K(960K)->811K(960K)
[5.321s][info][gc          ] GC(11) Pause Young (Normal) (G1 Evacuation Pause) 1312M->876M(7168M) 24.517ms
[5.321s][info][gc,cpu      ] GC(11) User=0.06s Sys=0.02s Real=0.03s
[5.609s][info][gc,start    ] GC(12) Pause Young (Normal) (G1 Evacuation Pause)
[5.609s][info][gc,task     ] GC(12) Using 13 workers of 13 for evacuation
[5.638s][info][gc,phases   ] GC(12)   Pre Evacuate Collection Set: 0.4ms
